Acceleration - Average Points,103rd,8.69,
Acceleration - Best Result,98th,7th,x1
Acceleration - Total,95th,69.5,
AutoX - Average Points,143rd,1.69,
AutoX - Best Result,120th,10th,x1
AutoX - Total,134th,13.5,
Business Presentation - Average Points,223rd,42.26,
Business Presentation - Best Result,114th,6th,x1
Business Presentation - Total,81st,338.1,
Cost - Average Points,198th,43.27,
Cost - Best Result,175th,13th,x2
Cost - Total,87th,346.16,
Endurance - Average Points,120th,6.62,
Endurance - Best Result,117th,9th,x1
Endurance - Total,110th,53.0,
Engineering Design - Average Points,203rd,57.19,
Engineering Design - Best Result,134th,10th,x1
Engineering Design - Total,93rd,457.54,
Points - Average Points,200th,154.25,
Points - Total,106th,1234,
Skidpad - Average Points,133rd,1.34,
Skidpad - Best Result,125th,15th,x1
Skidpad - Total,127th,10.7,
