Acceleration - Average Points,169th,3.5,
Acceleration - Best Result,203rd,46th,x1
Acceleration - Total,196th,3.5,
AutoX - Average Points,159th,7.5,
AutoX - Best Result,208th,60th,x1
AutoX - Total,196th,7.5,
Business Presentation - Average Points,337th,18.75,
Business Presentation - Best Result,338th,64th,x1
Business Presentation - Total,338th,18.75,
Cost - Average Points,329th,3.09,
Cost - Best Result,334th,64th,x1
Cost - Total,331st,3.09,
Engineering Design - Average Points,287th,40.0,
Engineering Design - Best Result,327th,56th,x1
Engineering Design - Total,314th,40.0,
Points - Average Points,321st,75.0,
Points - Total,330th,75,
Skidpad - Average Points,176th,2.5,
Skidpad - Best Result,196th,37th,x1
Skidpad - Total,199th,2.5,
