Acceleration - Average Points,8th,57.91,
Acceleration - Best Result,3rd,1st,x5
Acceleration - Total,7th,1563.68,
AutoX - Average Points,15th,70.05,
AutoX - Best Result,10th,1st,x2
AutoX - Total,8th,1891.28,
Business Presentation - Average Points,48th,63.01,
Business Presentation - Best Result,39th,2nd,x3
Business Presentation - Total,11th,1701.14,
Cost - Average Points,65th,73.32,
Cost - Best Result,66th,3rd,x3
Cost - Total,14th,1979.65,
Endurance - Average Points,9th,149.57,
Endurance - Best Result,8th,1st,x2
Endurance - Total,8th,4038.35,
Engineering Design - Average Points,37th,107.34,
Engineering Design - Best Result,19th,1st,x1
Engineering Design - Total,16th,2898.24,
Fuel - Average Points,16th,56.42,
Fuel - Best Result,59th,2nd,x4
Fuel - Total,8th,1523.44,
Points - Average Points,10th,616.3,
Points - Total,8th,16640,
Skidpad - Average Points,17th,44.22,
Skidpad - Best Result,11th,1st,x2
Skidpad - Total,8th,1193.89,
