Acceleration - Average Points,24th,40.43,
Acceleration - Best Result,10th,1st,x2
Acceleration - Total,13th,1010.63,
AutoX - Average Points,33rd,53.18,
AutoX - Best Result,12th,1st,x2
AutoX - Total,14th,1329.4,
Business Presentation - Average Points,47th,63.36,
Business Presentation - Best Result,24th,1st,x1
Business Presentation - Total,15th,1583.94,
Cost - Average Points,98th,67.45,
Cost - Best Result,52nd,2nd,x1
Cost - Total,24th,1686.19,
Endurance - Average Points,19th,124.63,
Endurance - Best Result,36th,2nd,x2
Endurance - Total,10th,3115.75,
Engineering Design - Average Points,46th,105.47,
Engineering Design - Best Result,37th,2nd,x1
Engineering Design - Total,23rd,2636.67,
Fuel - Average Points,23rd,49.38,
Fuel - Best Result,94th,3rd,x5
Fuel - Total,12th,1234.41,
Points - Average Points,21st,531.48,
Points - Total,13th,13287,
Skidpad - Average Points,29th,32.09,
Skidpad - Best Result,38th,2nd,x2
Skidpad - Total,19th,802.13,
