Acceleration - Average Points,155th,6.36,
Acceleration - Best Result,131st,8th,x1
Acceleration - Total,126th,70.0,
AutoX - Average Points,164th,7.03,
AutoX - Best Result,143rd,9th,x1
AutoX - Total,143rd,77.3,
Business Presentation - Average Points,279th,38.49,
Business Presentation - Best Result,181st,8th,x1
Business Presentation - Total,103rd,423.35,
Cost - Average Points,230th,46.63,
Cost - Best Result,189th,10th,x1
Cost - Total,101st,512.89,
Endurance - Average Points,139th,15.11,
Endurance - Best Result,115th,6th,x1
Endurance - Total,129th,166.16,
Engineering Design - Average Points,232nd,58.98,
Engineering Design - Best Result,168th,10th,x1
Engineering Design - Total,106th,648.77,
Fuel - Average Points,155th,9.46,
Fuel - Best Result,111th,3rd,x1
Fuel - Total,114th,104.04,
Points - Average Points,214th,176.36,
Points - Total,118th,1940,
Skidpad - Average Points,171st,3.35,
Skidpad - Best Result,151st,11th,x2
Skidpad - Total,151st,36.8,
