Business Presentation - Average Points,142nd,52.8,
Business Presentation - Best Result,225th,20th,x1
Business Presentation - Total,238th,52.8,
Cost - Average Points,140th,58.9,
Cost - Best Result,216th,19th,x1
Cost - Total,218th,58.9,
Endurance - Average Points,145th,2.0,
Endurance - Best Result,145th,24th,x1
Endurance - Total,152nd,2.0,
Engineering Design - Average Points,112th,81.0,
Engineering Design - Best Result,225th,24th,x1
Engineering Design - Total,203rd,81.0,
Points - Average Points,152nd,195.0,
Points - Total,211th,195,
