Acceleration - Average Points,139th,0.44,
Acceleration - Best Result,128th,18th,x1
Acceleration - Total,140th,3.5,
AutoX - Average Points,152nd,0.94,
AutoX - Best Result,140th,17th,x1
AutoX - Total,143rd,7.5,
Business Presentation - Average Points,250th,37.14,
Business Presentation - Best Result,187th,13th,x1
Business Presentation - Total,87th,297.09,
Cost - Average Points,191st,45.26,
Cost - Best Result,111th,6th,x1
Cost - Total,85th,362.05,
Endurance - Average Points,131st,4.25,
Endurance - Best Result,135th,11th,x1
Endurance - Total,123rd,34.0,
Engineering Design - Average Points,230th,46.16,
Engineering Design - Best Result,192nd,17th,x1
Engineering Design - Total,106th,369.3,
Fuel - Average Points,113th,12.5,
Fuel - Best Result,33rd,1st,x1
Fuel - Total,90th,100.0,
Points - Average Points,216th,137.25,
Points - Total,116th,1098,
