Acceleration - Average Points,32nd,37.81,
Acceleration - Best Result,22nd,1st,x1
Acceleration - Total,25th,567.15,
AutoX - Average Points,45th,45.18,
AutoX - Best Result,71st,5th,x2
AutoX - Total,26th,677.73,
Business Presentation - Average Points,113th,55.36,
Business Presentation - Best Result,106th,5th,x1
Business Presentation - Total,40th,830.42,
Cost - Average Points,93rd,68.85,
Cost - Best Result,68th,3rd,x1
Cost - Total,38th,1032.71,
Endurance - Average Points,52nd,68.32,
Endurance - Best Result,79th,5th,x1
Endurance - Total,33rd,1024.73,
Engineering Design - Average Points,92nd,88.27,
Engineering Design - Best Result,94th,6th,x1
Engineering Design - Total,40th,1324.08,
Fuel - Average Points,54th,38.19,
Fuel - Best Result,6th,1st,x3
Fuel - Total,31st,572.82,
Points - Average Points,46th,416.8,
Points - Total,34th,6252,
Skidpad - Average Points,55th,23.68,
Skidpad - Best Result,38th,2nd,x1
Skidpad - Total,32nd,355.14,
