Acceleration - Average Points,183rd,1.75,
Acceleration - Best Result,139th,9th,x1
Acceleration - Total,178th,10.5,
AutoX - Average Points,181st,2.75,
AutoX - Best Result,156th,10th,x1
AutoX - Total,180th,16.5,
Business Presentation - Average Points,209th,47.3,
Business Presentation - Best Result,121st,4th,x1
Business Presentation - Total,144th,283.8,
Cost - Average Points,158th,60.46,
Cost - Best Result,39th,1st,x1
Cost - Total,127th,362.78,
Endurance - Average Points,159th,7.46,
Endurance - Best Result,128th,7th,x1
Endurance - Total,160th,44.75,
Engineering Design - Average Points,160th,75.26,
Engineering Design - Best Result,155th,9th,x1
Engineering Design - Total,133rd,451.56,
Fuel - Average Points,122nd,16.18,
Fuel - Best Result,116th,3rd,x1
Fuel - Total,132nd,97.11,
Points - Average Points,171st,209.67,
Points - Total,153rd,1258,
Skidpad - Average Points,180th,1.96,
Skidpad - Best Result,155th,11th,x1
Skidpad - Total,177th,11.77,
