Acceleration - Average Points,27th,38.01,
Acceleration - Best Result,28th,1st,x1
Acceleration - Total,12th,1026.25,
AutoX - Average Points,55th,38.27,
AutoX - Best Result,52nd,3rd,x2
AutoX - Total,19th,1033.19,
Business Presentation - Average Points,59th,61.33,
Business Presentation - Best Result,60th,2nd,x1
Business Presentation - Total,13th,1655.89,
Cost - Average Points,50th,76.28,
Cost - Best Result,32nd,1st,x1
Cost - Total,13th,2059.5,
Endurance - Average Points,34th,97.04,
Endurance - Best Result,33rd,2nd,x3
Endurance - Total,13th,2620.07,
Engineering Design - Average Points,30th,109.84,
Engineering Design - Best Result,26th,1st,x1
Engineering Design - Total,12th,2965.61,
Fuel - Average Points,20th,50.08,
Fuel - Best Result,17th,1st,x2
Fuel - Total,10th,1352.2,
Points - Average Points,23rd,507.41,
Points - Total,12th,13700,
Skidpad - Average Points,21st,41.41,
Skidpad - Best Result,29th,1st,x1
Skidpad - Total,10th,1118.16,
