Acceleration - Average Points,22nd,46.16,
Acceleration - Best Result,3rd,1st,x7
Acceleration - Total,7th,1846.34,
AutoX - Average Points,55th,43.93,
AutoX - Best Result,31st,1st,x1
AutoX - Total,9th,1757.06,
Business Presentation - Average Points,45th,63.75,
Business Presentation - Best Result,8th,1st,x4
Business Presentation - Total,4th,2550.01,
Cost - Average Points,92nd,70.94,
Cost - Best Result,72nd,2nd,x1
Cost - Total,6th,2837.44,
Endurance - Average Points,59th,71.19,
Endurance - Best Result,17th,1st,x2
Endurance - Total,14th,2847.6,
Engineering Design - Average Points,54th,105.39,
Engineering Design - Best Result,43rd,2nd,x1
Engineering Design - Total,8th,4215.69,
Fuel - Average Points,70th,31.73,
Fuel - Best Result,5th,1st,x4
Fuel - Total,12th,1269.07,
Points - Average Points,45th,464.4,
Points - Total,9th,18576,
Skidpad - Average Points,28th,35.08,
Skidpad - Best Result,16th,1st,x2
Skidpad - Total,8th,1403.31,
