Acceleration - Average Points,90th,15.29,
Acceleration - Best Result,101st,7th,x1
Acceleration - Total,59th,198.74,
AutoX - Average Points,52nd,38.28,
AutoX - Best Result,36th,2nd,x1
AutoX - Total,32nd,497.59,
Business Presentation - Average Points,218th,43.12,
Business Presentation - Best Result,58th,2nd,x1
Business Presentation - Total,56th,560.51,
Cost - Average Points,101st,67.28,
Cost - Best Result,29th,1st,x1
Cost - Total,44th,874.66,
Endurance - Average Points,63rd,55.36,
Endurance - Best Result,53rd,3rd,x1
Endurance - Total,39th,719.72,
Engineering Design - Average Points,78th,91.84,
Engineering Design - Best Result,61st,4th,x2
Engineering Design - Total,43rd,1193.9,
Fuel - Average Points,49th,40.09,
Fuel - Best Result,41st,1st,x1
Fuel - Total,34th,521.15,
Points - Average Points,60th,368.69,
Points - Total,42nd,4793,
Skidpad - Average Points,61st,21.77,
Skidpad - Best Result,73rd,5th,x1
Skidpad - Total,39th,283.0,
