Acceleration - Average Points,26th,38.5,
Acceleration - Best Result,30th,1st,x1
Acceleration - Total,67th,192.52,
AutoX - Average Points,30th,55.71,
AutoX - Best Result,156th,17th,x1
AutoX - Total,64th,278.57,
Business Presentation - Average Points,132nd,53.15,
Business Presentation - Best Result,107th,4th,x1
Business Presentation - Total,123rd,265.75,
Cost - Average Points,287th,-9.03,
Cost - Best Result,268th,54th,x1
Cost - Total,289th,-45.17,
Endurance - Average Points,71st,51.05,
Endurance - Best Result,134th,9th,x1
Endurance - Total,86th,255.26,
Engineering Design - Average Points,35th,107.8,
Engineering Design - Best Result,50th,3rd,x2
Engineering Design - Total,98th,539.0,
Fuel - Average Points,46th,38.06,
Fuel - Best Result,45th,1st,x1
Fuel - Total,71st,190.31,
Points - Average Points,70th,355.2,
Points - Total,101st,1776,
Skidpad - Average Points,62nd,21.91,
Skidpad - Best Result,151st,23rd,x1
Skidpad - Total,83rd,109.56,
