Acceleration - Average Points,20th,47.56,
Acceleration - Best Result,86th,4th,x1
Acceleration - Total,57th,332.9,
AutoX - Average Points,106th,24.24,
AutoX - Best Result,138th,8th,x1
AutoX - Total,99th,169.66,
Business Presentation - Average Points,58th,62.21,
Business Presentation - Best Result,74th,2nd,x1
Business Presentation - Total,99th,435.5,
Cost - Average Points,12th,88.19,
Cost - Best Result,100th,3rd,x1
Cost - Total,85th,617.3,
Endurance - Average Points,153rd,8.36,
Endurance - Best Result,142nd,8th,x1
Endurance - Total,151st,58.53,
Engineering Design - Average Points,90th,91.01,
Engineering Design - Best Result,182nd,12th,x2
Engineering Design - Total,108th,637.1,
Points - Average Points,87th,346.29,
Points - Total,100th,2424,
Skidpad - Average Points,40th,29.96,
Skidpad - Best Result,137th,8th,x1
Skidpad - Total,64th,209.75,
