Acceleration - Average Points,175th,2.32,
Acceleration - Best Result,113th,6th,x1
Acceleration - Total,176th,13.9,
AutoX - Average Points,80th,34.57,
AutoX - Best Result,69th,3rd,x1
AutoX - Total,86th,207.4,
Business Presentation - Average Points,124th,54.47,
Business Presentation - Best Result,141st,5th,x1
Business Presentation - Total,129th,326.8,
Cost - Average Points,129th,64.83,
Cost - Best Result,164th,7th,x1
Cost - Total,121st,389.0,
Endurance - Average Points,79th,55.1,
Endurance - Best Result,89th,4th,x1
Endurance - Total,91st,330.6,
Engineering Design - Average Points,98th,89.17,
Engineering Design - Best Result,84th,4th,x1
Engineering Design - Total,122nd,535.0,
Fuel - Average Points,49th,36.3,
Fuel - Best Result,161st,9th,x1
Fuel - Total,75th,217.8,
Points - Average Points,92nd,339.17,
Points - Total,111th,2035,
Skidpad - Average Points,137th,9.15,
Skidpad - Best Result,168th,15th,x1
Skidpad - Total,138th,54.9,
