Acceleration - Average Points,118th,10.3,
Acceleration - Best Result,130th,10th,x1
Acceleration - Total,128th,30.89,
AutoX - Average Points,156th,2.17,
AutoX - Best Result,138th,11th,x1
AutoX - Total,163rd,6.5,
Business Presentation - Average Points,272nd,30.15,
Business Presentation - Best Result,198th,12th,x1
Business Presentation - Total,221st,90.45,
Cost - Average Points,265th,17.75,
Cost - Best Result,188th,13th,x1
Cost - Total,240th,53.24,
Endurance - Average Points,80th,46.59,
Endurance - Best Result,129th,8th,x1
Endurance - Total,108th,139.77,
Engineering Design - Average Points,197th,58.47,
Engineering Design - Best Result,169th,12th,x1
Engineering Design - Total,182nd,175.41,
Fuel - Average Points,75th,30.58,
Fuel - Best Result,110th,3rd,x1
Fuel - Total,126th,91.74,
Points - Average Points,156th,197.0,
Points - Total,169th,591,
Skidpad - Average Points,155th,1.17,
Skidpad - Best Result,139th,13th,x1
Skidpad - Total,159th,3.5,
