Business Presentation - Average Points,276th,38.91,
Business Presentation - Best Result,242nd,13th,x1
Business Presentation - Total,112th,389.1,
Cost - Average Points,259th,37.44,
Cost - Best Result,252nd,19th,x2
Cost - Total,124th,374.44,
Endurance - Average Points,146th,11.53,
Endurance - Best Result,119th,6th,x1
Endurance - Total,138th,115.3,
Engineering Design - Average Points,207th,64.5,
Engineering Design - Best Result,180th,11th,x1
Engineering Design - Total,107th,645.0,
Fuel - Average Points,153rd,10.0,
Fuel - Best Result,59th,1st,x1
Fuel - Total,126th,100.0,
Points - Average Points,246th,152.1,
Points - Total,135th,1521,
