Acceleration - Average Points,82nd,16.88,
Acceleration - Best Result,76th,5th,x1
Acceleration - Total,88th,84.4,
AutoX - Average Points,36th,50.14,
AutoX - Best Result,96th,6th,x1
AutoX - Total,59th,250.7,
Business Presentation - Average Points,93rd,57.66,
Business Presentation - Best Result,74th,3rd,x1
Business Presentation - Total,92nd,288.29,
Cost - Average Points,151st,55.54,
Cost - Best Result,60th,3rd,x2
Cost - Total,102nd,277.72,
Endurance - Average Points,45th,72.92,
Endurance - Best Result,98th,6th,x1
Endurance - Total,62nd,364.6,
Engineering Design - Average Points,65th,98.16,
Engineering Design - Best Result,122nd,8th,x1
Engineering Design - Total,87th,490.8,
Fuel - Average Points,61st,33.8,
Fuel - Best Result,49th,1st,x1
Fuel - Total,78th,169.0,
Points - Average Points,50th,398.0,
Points - Total,80th,1990,
Skidpad - Average Points,90th,12.66,
Skidpad - Best Result,106th,8th,x2
Skidpad - Total,94th,63.3,
