Acceleration - Average Points,76th,17.95,
Acceleration - Best Result,42nd,2nd,x1
Acceleration - Total,41st,323.19,
AutoX - Average Points,99th,13.29,
AutoX - Best Result,119th,9th,x1
AutoX - Total,62nd,239.14,
Business Presentation - Average Points,39th,64.99,
Business Presentation - Best Result,10th,1st,x3
Business Presentation - Total,28th,1169.87,
Cost - Average Points,58th,74.75,
Cost - Best Result,40th,1st,x1
Cost - Total,32nd,1345.46,
Endurance - Average Points,98th,16.47,
Endurance - Best Result,114th,8th,x1
Endurance - Total,71st,296.39,
Engineering Design - Average Points,57th,100.75,
Engineering Design - Best Result,58th,3rd,x1
Engineering Design - Total,32nd,1813.5,
Fuel - Average Points,97th,19.01,
Fuel - Best Result,51st,1st,x1
Fuel - Total,44th,342.2,
Points - Average Points,79th,329.61,
Points - Total,36th,5933,
Skidpad - Average Points,62nd,21.67,
Skidpad - Best Result,77th,5th,x1
Skidpad - Total,30th,390.04,
