Acceleration - Average Points,43rd,31.69,
Acceleration - Best Result,80th,5th,x3
Acceleration - Total,69th,190.12,
AutoX - Average Points,111th,14.1,
AutoX - Best Result,118th,8th,x2
AutoX - Total,116th,84.62,
Business Presentation - Average Points,69th,59.88,
Business Presentation - Best Result,87th,3rd,x1
Business Presentation - Total,93rd,359.28,
Cost - Average Points,53rd,75.89,
Cost - Best Result,99th,4th,x1
Cost - Total,84th,455.35,
Endurance - Average Points,98th,28.09,
Endurance - Best Result,65th,3rd,x1
Endurance - Total,104th,168.53,
Engineering Design - Average Points,68th,94.49,
Engineering Design - Best Result,44th,2nd,x1
Engineering Design - Total,94th,566.96,
Fuel - Average Points,119th,16.1,
Fuel - Best Result,113th,3rd,x1
Fuel - Total,115th,96.59,
Points - Average Points,78th,335.67,
Points - Total,91st,2014,
Skidpad - Average Points,86th,15.41,
Skidpad - Best Result,100th,6th,x1
Skidpad - Total,89th,92.44,
