Acceleration - Average Points,117th,4.5,
Acceleration - Best Result,94th,6th,x1
Acceleration - Total,102nd,58.56,
AutoX - Average Points,141st,2.01,
AutoX - Best Result,97th,6th,x1
AutoX - Total,126th,26.1,
Business Presentation - Average Points,209th,43.9,
Business Presentation - Best Result,78th,3rd,x1
Business Presentation - Total,53rd,570.75,
Cost - Average Points,152nd,55.45,
Cost - Best Result,80th,4th,x2
Cost - Total,54th,720.91,
Endurance - Average Points,137th,3.62,
Endurance - Best Result,107th,7th,x1
Endurance - Total,114th,47.0,
Engineering Design - Average Points,162nd,67.8,
Engineering Design - Best Result,99th,6th,x1
Engineering Design - Total,58th,881.45,
Fuel - Average Points,120th,6.83,
Fuel - Best Result,117th,5th,x1
Fuel - Total,114th,88.85,
Points - Average Points,186th,169.54,
Points - Total,73rd,2204,
Skidpad - Average Points,139th,0.81,
Skidpad - Best Result,103rd,7th,x1
Skidpad - Total,128th,10.5,
