Acceleration - Average Points,80th,19.54,
Acceleration - Best Result,118th,7th,x1
Acceleration - Total,83rd,136.8,
AutoX - Average Points,98th,21.03,
AutoX - Best Result,78th,4th,x1
AutoX - Total,89th,147.18,
Business Presentation - Average Points,124th,54.01,
Business Presentation - Best Result,109th,4th,x1
Business Presentation - Total,89th,378.07,
Cost - Average Points,139th,59.51,
Cost - Best Result,182nd,12th,x1
Cost - Total,95th,416.55,
Endurance - Average Points,82nd,39.89,
Endurance - Best Result,98th,5th,x1
Endurance - Total,83rd,279.2,
Engineering Design - Average Points,67th,94.74,
Engineering Design - Best Result,93rd,5th,x1
Engineering Design - Total,81st,663.17,
Fuel - Average Points,125th,13.26,
Fuel - Best Result,131st,5th,x1
Fuel - Total,124th,92.8,
Points - Average Points,86th,320.14,
Points - Total,86th,2241,
Skidpad - Average Points,52nd,25.33,
Skidpad - Best Result,50th,2nd,x1
Skidpad - Total,63rd,177.34,
