Acceleration - Average Points,81st,23.15,
Acceleration - Best Result,142nd,10th,x2
Acceleration - Total,115th,92.6,
AutoX - Average Points,45th,49.58,
AutoX - Best Result,110th,5th,x1
AutoX - Total,87th,198.3,
Business Presentation - Average Points,196th,48.5,
Business Presentation - Best Result,207th,10th,x1
Business Presentation - Total,182nd,194.0,
Cost - Average Points,153rd,61.65,
Cost - Best Result,120th,4th,x1
Cost - Total,162nd,246.6,
Endurance - Average Points,27th,111.25,
Endurance - Best Result,124th,6th,x1
Endurance - Total,79th,445.0,
Engineering Design - Average Points,123rd,83.75,
Engineering Design - Best Result,122nd,6th,x1
Engineering Design - Total,165th,335.0,
Fuel - Average Points,62nd,33.3,
Fuel - Best Result,164th,11th,x1
Fuel - Total,107th,133.2,
Points - Average Points,53rd,424.25,
Points - Total,127th,1697,
Skidpad - Average Points,112th,13.2,
Skidpad - Best Result,174th,17th,x2
Skidpad - Total,139th,52.8,
