Acceleration - Average Points,142nd,8.13,
Acceleration - Best Result,101st,5th,x1
Acceleration - Total,156th,32.51,
AutoX - Average Points,149th,9.4,
AutoX - Best Result,92nd,4th,x1
AutoX - Total,173rd,37.6,
Business Presentation - Average Points,312th,31.91,
Business Presentation - Best Result,249th,14th,x1
Business Presentation - Total,235th,127.64,
Cost - Average Points,226th,47.17,
Cost - Best Result,103rd,3rd,x1
Cost - Total,189th,188.68,
Endurance - Average Points,167th,6.25,
Endurance - Best Result,109th,5th,x1
Endurance - Total,182nd,25.0,
Engineering Design - Average Points,178th,71.96,
Engineering Design - Best Result,204th,13th,x1
Engineering Design - Total,177th,287.82,
Points - Average Points,216th,175.75,
Points - Total,201st,703,
Skidpad - Average Points,192nd,0.88,
Skidpad - Best Result,133rd,7th,x1
Skidpad - Total,198th,3.5,
