Acceleration - Average Points,1st,25.31,
Acceleration - Best Result,1st,4th,x1
Acceleration - Total,1st,303.76,
AutoX - Average Points,1st,38.07,
AutoX - Best Result,1st,5th,x1
AutoX - Total,1st,456.78,
Business Presentation - Average Points,3rd,47.09,
Business Presentation - Best Result,2nd,7th,x1
Business Presentation - Total,1st,565.11,
Cost - Average Points,2nd,74.2,
Cost - Best Result,1st,4th,x2
Cost - Total,1st,890.37,
Endurance - Average Points,1st,63.16,
Endurance - Best Result,1st,3rd,x1
Endurance - Total,1st,757.92,
Engineering Design - Average Points,1st,106.63,
Engineering Design - Best Result,1st,4th,x1
Engineering Design - Total,1st,1279.6,
Fuel - Average Points,1st,42.49,
Fuel - Best Result,2nd,5th,x2
Fuel - Total,1st,509.89,
Points - Average Points,1st,422.25,
Points - Total,1st,5067,
Skidpad - Average Points,1st,26.52,
Skidpad - Best Result,1st,1st,x1
Skidpad - Total,1st,318.3,
