Acceleration - Average Points,1st,32.45,
Acceleration - Best Result,4th,5th,x1
Acceleration - Total,4th,64.9,
AutoX - Average Points,1st,45.45,
AutoX - Best Result,1st,2nd,x1
AutoX - Total,4th,90.9,
Business Presentation - Average Points,22nd,41.35,
Business Presentation - Best Result,20th,27th,x1
Business Presentation - Total,23rd,82.7,
Cost - Average Points,17th,44.5,
Cost - Best Result,21st,31st,x1
Cost - Total,19th,89.0,
Endurance - Average Points,7th,7.0,
Endurance - Best Result,7th,9th,x1
Endurance - Total,9th,14.0,
Engineering Design - Average Points,8th,79.5,
Engineering Design - Best Result,14th,16th,x1
Engineering Design - Total,15th,159.0,
Points - Average Points,5th,295.5,
Points - Total,14th,591,
Skidpad - Average Points,1st,37.5,
Skidpad - Best Result,1st,1st,x1
Skidpad - Total,3rd,75.0,
