Acceleration - Average Points,35th,8.12,
Acceleration - Best Result,38th,8th,x1
Acceleration - Total,38th,64.93,
AutoX - Average Points,35th,11.34,
AutoX - Best Result,37th,9th,x1
AutoX - Total,33rd,90.76,
Business Presentation - Average Points,47th,44.68,
Business Presentation - Best Result,48th,9th,x1
Business Presentation - Total,40th,357.43,
Cost - Average Points,12th,74.95,
Cost - Best Result,50th,10th,x3
Cost - Total,35th,599.59,
Endurance - Average Points,21st,42.05,
Endurance - Best Result,27th,5th,x1
Endurance - Total,29th,336.43,
Engineering Design - Average Points,44th,68.2,
Engineering Design - Best Result,29th,6th,x1
Engineering Design - Total,38th,545.6,
Fuel - Average Points,27th,17.97,
Fuel - Best Result,38th,5th,x1
Fuel - Total,31st,143.78,
Points - Average Points,31st,254.0,
Points - Total,34th,2032,
Skidpad - Average Points,38th,7.36,
Skidpad - Best Result,35th,7th,x1
Skidpad - Total,38th,58.84,
