Acceleration - Average Points,2nd,23.69,
Acceleration - Best Result,2nd,2nd,x1
Acceleration - Total,1st,663.29,
AutoX - Average Points,1st,35.99,
AutoX - Best Result,1st,1st,x1
AutoX - Total,1st,1007.85,
Business Presentation - Average Points,3rd,63.54,
Business Presentation - Best Result,4th,1st,x1
Business Presentation - Total,1st,1779.01,
Cost - Average Points,3rd,79.27,
Cost - Best Result,2nd,1st,x3
Cost - Total,1st,2219.7,
Endurance - Average Points,2nd,29.21,
Endurance - Best Result,1st,3rd,x1
Endurance - Total,1st,817.79,
Engineering Design - Average Points,1st,107.18,
Engineering Design - Best Result,2nd,2nd,x1
Engineering Design - Total,1st,3001.03,
Fuel - Average Points,1st,24.38,
Fuel - Best Result,1st,1st,x3
Fuel - Total,1st,682.76,
Points - Average Points,1st,387.5,
Points - Total,1st,10850,
Skidpad - Average Points,1st,31.14,
Skidpad - Best Result,1st,1st,x1
Skidpad - Total,1st,871.91,
