Acceleration - Average Points,45th,6.36,
Acceleration - Best Result,44th,8th,x1
Acceleration - Total,44th,70.0,
AutoX - Average Points,44th,7.03,
AutoX - Best Result,43rd,9th,x1
AutoX - Total,39th,77.3,
Business Presentation - Average Points,62nd,38.49,
Business Presentation - Best Result,51st,8th,x1
Business Presentation - Total,50th,423.35,
Cost - Average Points,60th,46.63,
Cost - Best Result,56th,10th,x1
Cost - Total,47th,512.89,
Endurance - Average Points,37th,15.11,
Endurance - Best Result,38th,6th,x1
Endurance - Total,38th,166.16,
Engineering Design - Average Points,57th,58.98,
Engineering Design - Best Result,47th,10th,x1
Engineering Design - Total,46th,648.77,
Fuel - Average Points,44th,9.46,
Fuel - Best Result,38th,3rd,x1
Fuel - Total,38th,104.04,
Points - Average Points,53rd,176.36,
Points - Total,46th,1940,
Skidpad - Average Points,52nd,3.35,
Skidpad - Best Result,50th,11th,x2
Skidpad - Total,49th,36.8,
