Acceleration - Average Points,49th,3.85,
Acceleration - Best Result,40th,7th,x1
Acceleration - Total,48th,46.23,
AutoX - Average Points,58th,1.54,
AutoX - Best Result,42nd,9th,x2
AutoX - Total,52nd,18.5,
Business Presentation - Average Points,31st,51.27,
Business Presentation - Best Result,17th,2nd,x1
Business Presentation - Total,36th,615.19,
Cost - Average Points,55th,47.72,
Cost - Best Result,52nd,9th,x2
Cost - Total,44th,572.68,
Endurance - Average Points,55th,2.75,
Endurance - Best Result,37th,6th,x1
Endurance - Total,51st,33.0,
Engineering Design - Average Points,46th,70.31,
Engineering Design - Best Result,46th,10th,x1
Engineering Design - Total,39th,843.72,
Points - Average Points,55th,168.25,
Points - Total,43rd,2019,
Skidpad - Average Points,48th,4.11,
Skidpad - Best Result,42nd,7th,x1
Skidpad - Total,44th,49.38,
