Acceleration - Average Points,41st,7.57,
Acceleration - Best Result,37th,7th,x2
Acceleration - Total,37th,143.92,
AutoX - Average Points,37th,12.16,
AutoX - Best Result,28th,5th,x1
AutoX - Total,31st,231.09,
Business Presentation - Average Points,23rd,53.51,
Business Presentation - Best Result,11th,2nd,x2
Business Presentation - Total,24th,1016.62,
Cost - Average Points,4th,85.54,
Cost - Best Result,6th,1st,x2
Cost - Total,18th,1625.34,
Endurance - Average Points,29th,34.73,
Endurance - Best Result,23rd,4th,x2
Endurance - Total,28th,659.94,
Engineering Design - Average Points,32nd,81.03,
Engineering Design - Best Result,29th,6th,x2
Engineering Design - Total,25th,1539.54,
Fuel - Average Points,25th,21.93,
Fuel - Best Result,15th,1st,x1
Fuel - Total,24th,416.76,
Points - Average Points,32nd,298.11,
Points - Total,27th,5664,
Skidpad - Average Points,37th,9.27,
Skidpad - Best Result,33rd,6th,x1
Skidpad - Total,33rd,176.15,
