Acceleration - Average Points,2nd,62.21,
Acceleration - Best Result,4th,22nd,x1
Acceleration - Total,4th,62.21,
AutoX - Average Points,1st,88.93,
AutoX - Best Result,4th,29th,x1
AutoX - Total,2nd,88.93,
Business Presentation - Average Points,5th,41.4,
Business Presentation - Best Result,9th,46th,x1
Business Presentation - Total,7th,41.4,
Endurance - Average Points,5th,6.0,
Endurance - Best Result,5th,58th,x1
Endurance - Total,5th,6.0,
Engineering Design - Average Points,1st,107.0,
Engineering Design - Best Result,2nd,10th,x1
Engineering Design - Total,3rd,107.0,
Points - Average Points,4th,250.0,
Points - Total,5th,250,
Skidpad - Average Points,1st,44.78,
Skidpad - Best Result,1st,18th,x1
Skidpad - Total,2nd,44.78,
