Acceleration - Average Points,1st,91.69,
Acceleration - Best Result,1st,1st,x2
Acceleration - Total,1st,458.43,
AutoX - Average Points,1st,99.06,
AutoX - Best Result,5th,8th,x1
AutoX - Total,1st,495.28,
Business Presentation - Average Points,1st,68.56,
Business Presentation - Best Result,1st,1st,x3
Business Presentation - Total,2nd,342.81,
Cost - Average Points,1st,42.86,
Cost - Best Result,1st,9th,x1
Cost - Total,1st,214.3,
Endurance - Average Points,1st,158.25,
Endurance - Best Result,1st,10th,x1
Endurance - Total,1st,791.24,
Engineering Design - Average Points,1st,138.0,
Engineering Design - Best Result,1st,1st,x1
Engineering Design - Total,1st,690.0,
Fuel - Average Points,2nd,66.45,
Fuel - Best Result,5th,2nd,x2
Fuel - Total,1st,332.24,
Points - Average Points,1st,703.2,
Points - Total,1st,3516,
Skidpad - Average Points,1st,40.27,
Skidpad - Best Result,1st,4th,x2
Skidpad - Total,1st,201.34,
