Acceleration - Average Points,1st,35.76,
Acceleration - Best Result,3rd,3rd,x4
Acceleration - Total,1st,893.98,
AutoX - Average Points,1st,39.5,
AutoX - Best Result,1st,1st,x1
AutoX - Total,1st,987.41,
Business Presentation - Average Points,6th,53.41,
Business Presentation - Best Result,2nd,1st,x1
Business Presentation - Total,1st,1335.15,
Cost - Average Points,6th,68.18,
Cost - Best Result,2nd,1st,x1
Cost - Total,1st,1704.61,
Endurance - Average Points,2nd,61.73,
Endurance - Best Result,2nd,1st,x1
Endurance - Total,1st,1543.15,
Engineering Design - Average Points,2nd,111.24,
Engineering Design - Best Result,1st,2nd,x4
Engineering Design - Total,1st,2781.06,
Fuel - Average Points,2nd,28.2,
Fuel - Best Result,2nd,1st,x1
Fuel - Total,1st,704.93,
Points - Average Points,2nd,419.56,
Points - Total,1st,10489,
Skidpad - Average Points,2nd,26.59,
Skidpad - Best Result,1st,1st,x2
Skidpad - Total,1st,664.72,
