Acceleration - Average Points,5th,12.89,
Acceleration - Best Result,3rd,24th,x1
Acceleration - Total,5th,90.2,
AutoX - Average Points,3rd,60.42,
AutoX - Best Result,2nd,1st,x1
AutoX - Total,1st,422.91,
Business Presentation - Average Points,2nd,47.89,
Business Presentation - Best Result,2nd,2nd,x1
Business Presentation - Total,2nd,335.21,
Cost - Average Points,4th,16.57,
Cost - Best Result,6th,41st,x1
Cost - Total,2nd,115.97,
Endurance - Average Points,6th,5.29,
Endurance - Best Result,6th,33rd,x1
Endurance - Total,6th,37.0,
Engineering Design - Average Points,5th,50.57,
Engineering Design - Best Result,5th,30th,x1
Engineering Design - Total,2nd,354.0,
Fuel - Average Points,6th,11.74,
Fuel - Best Result,5th,2nd,x1
Fuel - Total,7th,82.2,
Points - Average Points,4th,200.57,
Points - Total,2nd,1404,
Skidpad - Average Points,6th,5.55,
Skidpad - Best Result,4th,24th,x1
Skidpad - Total,5th,38.83,
