Acceleration - Average Points,3rd,49.15,
Acceleration - Best Result,5th,1st,x4
Acceleration - Total,2nd,1916.79,
AutoX - Average Points,6th,60.98,
AutoX - Best Result,2nd,1st,x10
AutoX - Total,3rd,2378.29,
Business Presentation - Average Points,13th,59.06,
Business Presentation - Best Result,12th,2nd,x2
Business Presentation - Total,4th,2303.28,
Cost - Average Points,25th,68.53,
Cost - Best Result,13th,1st,x1
Cost - Total,3rd,2672.59,
Endurance - Average Points,6th,110.82,
Endurance - Best Result,3rd,1st,x4
Endurance - Total,4th,4321.94,
Engineering Design - Average Points,2nd,127.24,
Engineering Design - Best Result,2nd,1st,x4
Engineering Design - Total,3rd,4962.3,
Fuel - Average Points,6th,45.68,
Fuel - Best Result,1st,1st,x7
Fuel - Total,4th,1781.66,
Points - Average Points,5th,561.46,
Points - Total,3rd,21897,
Skidpad - Average Points,2nd,46.94,
Skidpad - Best Result,1st,1st,x11
Skidpad - Total,2nd,1830.59,
