Acceleration - Average Points,21st,21.12,
Acceleration - Best Result,20th,3rd,x1
Acceleration - Total,20th,422.35,
AutoX - Average Points,9th,46.64,
AutoX - Best Result,11th,2nd,x1
AutoX - Total,12th,932.83,
Business Presentation - Average Points,53rd,43.37,
Business Presentation - Best Result,21st,3rd,x1
Business Presentation - Total,22nd,867.36,
Cost - Average Points,41st,58.21,
Cost - Best Result,33rd,5th,x1
Cost - Total,20th,1164.24,
Endurance - Average Points,12th,82.69,
Endurance - Best Result,18th,3rd,x3
Endurance - Total,13th,1653.77,
Engineering Design - Average Points,17th,92.68,
Engineering Design - Best Result,10th,2nd,x1
Engineering Design - Total,18th,1853.58,
Fuel - Average Points,11th,43.01,
Fuel - Best Result,30th,3rd,x2
Fuel - Total,11th,860.15,
Points - Average Points,13th,397.1,
Points - Total,16th,7942,
Skidpad - Average Points,25th,17.21,
Skidpad - Best Result,25th,5th,x1
Skidpad - Total,19th,344.19,
