Acceleration - Average Points,7th,43.39,
Acceleration - Best Result,4th,1st,x5
Acceleration - Total,4th,1431.77,
AutoX - Average Points,11th,45.81,
AutoX - Best Result,10th,1st,x1
AutoX - Total,6th,1511.69,
Business Presentation - Average Points,7th,63.34,
Business Presentation - Best Result,4th,1st,x4
Business Presentation - Total,4th,2090.15,
Cost - Average Points,25th,69.14,
Cost - Best Result,23rd,2nd,x1
Cost - Total,5th,2281.54,
Endurance - Average Points,15th,68.36,
Endurance - Best Result,8th,1st,x2
Endurance - Total,9th,2255.86,
Engineering Design - Average Points,13th,102.72,
Engineering Design - Best Result,16th,3rd,x1
Engineering Design - Total,5th,3389.85,
Fuel - Average Points,20th,30.45,
Fuel - Best Result,4th,1st,x3
Fuel - Total,9th,1004.76,
Points - Average Points,11th,452.94,
Points - Total,6th,14947,
Skidpad - Average Points,8th,32.92,
Skidpad - Best Result,12th,1st,x1
Skidpad - Total,6th,1086.5,
