Acceleration - Average Points,45th,3.94,
Acceleration - Best Result,48th,11th,x1
Acceleration - Total,43rd,35.5,
AutoX - Average Points,39th,8.19,
AutoX - Best Result,46th,10th,x1
AutoX - Total,37th,73.75,
Business Presentation - Average Points,34th,50.21,
Business Presentation - Best Result,27th,4th,x2
Business Presentation - Total,37th,451.91,
Cost - Average Points,50th,48.87,
Cost - Best Result,42nd,7th,x1
Cost - Total,40th,439.79,
Endurance - Average Points,39th,7.69,
Endurance - Best Result,43rd,9th,x2
Endurance - Total,39th,69.2,
Engineering Design - Average Points,38th,77.0,
Engineering Design - Best Result,36th,8th,x1
Engineering Design - Total,36th,693.0,
Fuel - Average Points,36th,12.26,
Fuel - Best Result,32nd,2nd,x1
Fuel - Total,33rd,110.38,
Points - Average Points,42nd,203.0,
Points - Total,39th,1827,
Skidpad - Average Points,46th,4.37,
Skidpad - Best Result,27th,5th,x1
Skidpad - Total,44th,39.31,
