Acceleration - Average Points,1st,26.45,
Acceleration - Best Result,1st,1st,x2
Acceleration - Total,1st,740.57,
AutoX - Average Points,1st,24.93,
AutoX - Best Result,1st,3rd,x4
AutoX - Total,1st,697.98,
Business Presentation - Average Points,2nd,61.85,
Business Presentation - Best Result,1st,1st,x2
Business Presentation - Total,1st,1731.93,
Cost - Average Points,2nd,70.76,
Cost - Best Result,1st,1st,x2
Cost - Total,1st,1981.36,
Endurance - Average Points,1st,40.6,
Endurance - Best Result,1st,2nd,x1
Endurance - Total,1st,1136.91,
Engineering Design - Average Points,1st,113.04,
Engineering Design - Best Result,1st,1st,x2
Engineering Design - Total,1st,3165.12,
Fuel - Average Points,1st,19.81,
Fuel - Best Result,1st,2nd,x2
Fuel - Total,1st,554.59,
Points - Average Points,1st,373.21,
Points - Total,1st,10450,
Skidpad - Average Points,1st,24.98,
Skidpad - Best Result,1st,2nd,x2
Skidpad - Total,1st,699.41,
