Acceleration - Average Points,9th,15.5,
Acceleration - Best Result,9th,4th,x1
Acceleration - Total,8th,62.0,
AutoX - Average Points,10th,27.65,
AutoX - Best Result,12th,6th,x1
AutoX - Total,10th,110.6,
Business Presentation - Average Points,42nd,26.92,
Business Presentation - Best Result,19th,10th,x1
Business Presentation - Total,19th,107.7,
Cost - Average Points,5th,83.95,
Cost - Best Result,2nd,1st,x1
Cost - Total,2nd,335.8,
Endurance - Average Points,8th,63.5,
Endurance - Best Result,5th,2nd,x1
Endurance - Total,6th,254.0,
Engineering Design - Average Points,22nd,70.0,
Engineering Design - Best Result,17th,8th,x1
Engineering Design - Total,11th,280.0,
Fuel - Average Points,9th,47.18,
Fuel - Best Result,10th,3rd,x1
Fuel - Total,6th,188.7,
Points - Average Points,10th,346.25,
Points - Total,7th,1385,
Skidpad - Average Points,10th,11.58,
Skidpad - Best Result,10th,5th,x1
Skidpad - Total,10th,46.3,
