Acceleration - Average Points,12th,10.3,
Acceleration - Best Result,12th,10th,x1
Acceleration - Total,12th,30.89,
AutoX - Average Points,13th,2.17,
AutoX - Best Result,13th,11th,x1
AutoX - Total,13th,6.5,
Business Presentation - Average Points,14th,30.15,
Business Presentation - Best Result,14th,12th,x1
Business Presentation - Total,14th,90.45,
Cost - Average Points,14th,17.75,
Cost - Best Result,14th,13th,x1
Cost - Total,14th,53.24,
Endurance - Average Points,11th,46.59,
Endurance - Best Result,12th,8th,x1
Endurance - Total,11th,139.77,
Engineering Design - Average Points,14th,58.47,
Engineering Design - Best Result,14th,12th,x1
Engineering Design - Total,14th,175.41,
Fuel - Average Points,6th,30.58,
Fuel - Best Result,8th,3rd,x1
Fuel - Total,9th,91.74,
Points - Average Points,13th,197.0,
Points - Total,14th,591,
Skidpad - Average Points,14th,1.17,
Skidpad - Best Result,14th,13th,x1
Skidpad - Total,14th,3.5,
