Acceleration - Average Points,10th,14.72,
Acceleration - Best Result,12th,6th,x1
Acceleration - Total,9th,58.9,
AutoX - Average Points,12th,26.6,
AutoX - Best Result,10th,5th,x1
AutoX - Total,11th,106.4,
Business Presentation - Average Points,13th,63.97,
Business Presentation - Best Result,7th,3rd,x1
Business Presentation - Total,4th,255.9,
Cost - Average Points,15th,70.58,
Cost - Best Result,17th,8th,x1
Cost - Total,5th,282.3,
Endurance - Average Points,12th,11.5,
Endurance - Best Result,13th,5th,x1
Endurance - Total,12th,46.0,
Engineering Design - Average Points,1st,133.75,
Engineering Design - Best Result,1st,1st,x2
Engineering Design - Total,1st,535.0,
Fuel - Average Points,13th,24.2,
Fuel - Best Result,11th,3rd,x1
Fuel - Total,13th,96.8,
Points - Average Points,9th,361.0,
Points - Total,6th,1444,
Skidpad - Average Points,9th,15.72,
Skidpad - Best Result,9th,4th,x1
Skidpad - Total,7th,62.9,
