Acceleration - Average Points,5th,4.5,
Acceleration - Best Result,5th,6th,x1
Acceleration - Total,5th,58.56,
AutoX - Average Points,7th,2.01,
AutoX - Best Result,4th,6th,x1
AutoX - Total,5th,26.1,
Business Presentation - Average Points,8th,43.9,
Business Presentation - Best Result,5th,3rd,x1
Business Presentation - Total,2nd,570.75,
Cost - Average Points,8th,55.45,
Cost - Best Result,4th,4th,x2
Cost - Total,2nd,720.91,
Endurance - Average Points,6th,3.62,
Endurance - Best Result,6th,7th,x1
Endurance - Total,5th,47.0,
Engineering Design - Average Points,8th,67.8,
Engineering Design - Best Result,6th,6th,x1
Engineering Design - Total,3rd,881.45,
Fuel - Average Points,5th,6.83,
Fuel - Best Result,5th,5th,x1
Fuel - Total,5th,88.85,
Points - Average Points,8th,169.54,
Points - Total,4th,2204,
Skidpad - Average Points,6th,0.81,
Skidpad - Best Result,5th,7th,x1
Skidpad - Total,6th,10.5,
