AutoX - Average Points,1st,82.3,
AutoX - Best Result,4th,6th,x1
AutoX - Total,4th,82.3,
Business Presentation - Average Points,5th,63.7,
Business Presentation - Best Result,10th,17th,x1
Business Presentation - Total,10th,63.7,
Cost - Average Points,1st,79.3,
Cost - Best Result,7th,10th,x1
Cost - Total,8th,79.3,
Endurance - Average Points,6th,3.0,
Endurance - Best Result,6th,10th,x1
Endurance - Total,6th,3.0,
Engineering Design - Average Points,1st,150.0,
Engineering Design - Best Result,2nd,1st,x1
Engineering Design - Total,6th,150.0,
Points - Average Points,2nd,424.0,
Points - Total,6th,424,
Skidpad - Average Points,1st,45.4,
Skidpad - Best Result,4th,6th,x1
Skidpad - Total,4th,45.4,
