Rank,University,#,Points
1,Nagoya University,3,763.0
2,Carnegie Mellon University,4,746.25
3,Monash University,6,735.83
4,Pimpri Chinchwad College Of Engineering,1,728.0
5,ETH Zürich,43,719.84
6,Universität Stuttgart,40,718.1
7,TU Delft,31,696.35
8,University of Michigan - Ann Arbor,3,680.0
9,Massachusetts Institute of Technology,3,657.0
10,Tallinn TU UAS,25,646.2
11,University of Auckland,4,634.0
12,Karlsruhe Institute of Technology,36,627.03
13,Duale Hochschule Baden-Württemberg Stuttgart,25,621.72
14,Westsächsische Hochschule Zwickau,30,588.27
15,Technical University of Munich,37,571.86
16,Georgia Institute of Technology,2,569.0
17,GFR DHBW Ravensburg &amp; Oregon State University,22,566.95
18,University of Canterbury,4,564.25
19,University of Washington,4,564.25
20,Technische Universität Bergakademie Freiberg,25,554.72
21,National Technical University of Athens,5,544.4
22,University of Pennsylvania,4,534.75
23,Fachhochschule Joanneum Graz,3,534.33
24,National Tsing Hua University,4,530.25
25,Hochschule Bonn-Rhein-Sieg,23,518.48
26,Technische Universiteit Eindhoven,25,518.32
27,University of Wollongong,3,513.0
28,Universidade Estadual de Campinas,2,500.0
29,Norwegian University of Science and Technology,19,494.68
30,Budapest University of Technology and Economics,19,492.89
31,University of Adelaide,3,489.0
32,Warsaw University of Technology,1,488.0
33,Brno University of Technology,4,486.75
34,McGill University,5,478.2
35,Czech Technical University in Prague,24,477.75
36,RMIT University,10,474.4
37,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),23,474.13
38,Fachhochschule München,31,472.55
39,Toyohashi University of Technology,2,465.5
40,Rheinisch-Westfälische Technische Hochschule Aachen,23,457.61
41,Technische Universität Dresden,33,452.94
42,Politecnico di Torino,22,440.0
43,Chalmers University of Technology,11,426.45
44,École de Technologie Superieure,1,424.0
45,The University of Akron,2,423.0
46,Ostfalia University of Applied Sciences,15,416.8
47,Missouri University of Science and Technology,2,409.5
48,Politecnico di Milano,6,408.5
49,Tongji University,4,399.25
50,University of Technology Sydney,5,398.0
51,Technische Hochschule Ingolstadt,20,397.1
52,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,25,392.72
53,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),17,391.47
54,University of Queensland,5,385.8
55,Universität Bayreuth,18,385.06
56,Swinburne University of Technology,10,379.1
57,Université Laval,7,374.14
58,Technische Universität Hamburg,27,373.15
59,Technische Universität Darmstadt,30,368.77
60,Technische Universität Graz,13,368.69
61,Aristotle University of Thessaloniki,10,368.1
62,Hochschule Esslingen,20,363.0
63,Curtin University,1,361.0
64,University of Wisconsin-Madison,4,361.0
65,Technische Universität Wien,24,360.79
66,Fachhochschule Osnabrück,15,354.4
67,Ulm University of Applied Sciences,2,351.5
68,UAS Würzburg-Schweinfurt,9,351.0
69,University of Southampton,1,350.0
70,The University of Newcastle,3,347.0
71,École Polytechnique de Montréal,4,346.75
72,Helsinki Metropolia University of Applied Sciences,15,346.73
