Rank,University,Lowest Place,#
1,ETH Zürich,1st,30
2,TU Delft,1st,8
3,Tallinn TU UAS,1st,7
4,Universität Stuttgart,1st,5
5,Technical University of Munich,1st,4
6,Westsächsische Hochschule Zwickau,1st,4
7,Hochschule Bonn-Rhein-Sieg,1st,3
8,Karlsruhe Institute of Technology,1st,3
9,McGill University,1st,3
10,Monash University,1st,3
11,Norwegian University of Science and Technology,1st,3
12,Technische Universität Wien,1st,3
13,Fachhochschule Joanneum Graz,1st,2
14,Oxford Brookes University,1st,2
15,Pimpri Chinchwad College Of Engineering,1st,2
16,Universidade de Lisboa - Instituto Superior Técnico,1st,2
17,University of Wisconsin-Madison,1st,2
18,Barcelona School of Industrial Engineering - ETSEIB - UPC,1st,1
19,Brno University of Technology,1st,1
20,Budapest University of Technology and Economics,1st,1
21,Carnegie Mellon University,1st,1
22,Duale Hochschule Baden-Württemberg Stuttgart,1st,1
23,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),1st,1
24,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),1st,1
25,Indian Institute of Technology Madras,1st,1
26,Jilin University,1st,1
27,Nagoya University,1st,1
28,National Technical University of Athens,1st,1
29,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1st,1
30,Technische Universiteit Eindhoven,1st,1
31,Technische Universität Darmstadt,1st,1
32,Technische Universität Graz,1st,1
33,University of Auckland,1st,1
34,École de Technologie Superieure,1st,1
35,Politecnico di Torino,2nd,4
36,Politecnico di Milano,2nd,3
37,Fachhochschule München,2nd,2
38,KU Leuven - Group T Campus,2nd,2
39,Fachhochschule Kiel,2nd,1
40,GFR DHBW Ravensburg & Oregon State University,2nd,1
41,GFR DHBW Ravensburg & Oregon State University,2nd,1
42,Indian Institute of Technology Delhi,2nd,1
43,Technische Hochschule Ingolstadt,2nd,1
44,Technische Universität Bergakademie Freiberg,2nd,1
45,Technische Universität Berlin,2nd,1
46,Technische Universität Dresden,2nd,1
47,Universidade Estadual de Campinas,2nd,1
48,University of Glasgow,2nd,1
49,University of Queensland,2nd,1
50,University of Washington,2nd,1
51,Università degli Studi di Parma,2nd,1
52,Université Laval,2nd,1
53,Western University,2nd,1
54,École Polytechnique de Montréal,2nd,1
55,Czech Technical University in Prague,3rd,4
56,Tongji University,3rd,3
57,University of Canterbury,3rd,3
58,University of Michigan - Ann Arbor,3rd,3
59,Hochschule Esslingen,3rd,2
60,Universität Siegen,3rd,2
61,Indian Institute of Technology Bombay,3rd,1
62,K. J. Somaiya College of Engineering,3rd,1
63,Leibniz Universität Hannover,3rd,1
64,Rheinisch-Westfälische Technische Hochschule Aachen,3rd,1
65,Sardar Patel College of Engineering Mumbai,3rd,1
66,Sardar Patel College of Engineering Mumbai,3rd,1
67,University of Ljubljana,3rd,1
68,University of New South Wales,3rd,1
69,University of Pennsylvania,3rd,1
70,University of Porto,3rd,1
71,University of Southampton,3rd,1
72,University of the Basque Country,3rd,1
73,Università degli Studi di Trento,3rd,1
74,California State Polytechnic University - San Luis Obispo,4th,2
75,Massachusetts Institute of Technology,4th,2
76,University of Western Australia,4th,2
77,Chalmers University of Technology,4th,1
78,Deggendorf Institute of Technology,4th,1
79,Fachhochschule Osnabrück,4th,1
80,Georgia Institute of Technology,4th,1
81,Hochschule Aalen - Technik und Wirtschaft,4th,1
82,Hochschule RheinMain,4th,1
83,RMIT University,4th,1
84,Smt. Kashibai Navale College of Engineering,4th,1
85,Technische Hochschule Köln,4th,1
86,Technische Universität Braunschweig,4th,1
87,The University of Newcastle,4th,1
88,University of Illinois at Urbana-Champaign,4th,1
89,University of Seville,4th,1
90,University of Texas at Austin,4th,1
91,Università degli studi di Padova,4th,1
92,Universität Bayreuth,4th,1
93,Vishwakarma Institute of Technology,4th,1
94,École Polytechnique Fédérale de Lausanne,4th,1
95,Dwarkadas. J. Sanghvi College of Engineering,5th,2
96,Technische Universität Hamburg,5th,2
97,University of Melbourne,5th,2
98,Barcelona East School of Engineering - EEBE - UPC,5th,1
99,Harbin Institute of Technology at Weihai,5th,1
100,Hochschule Mannheim,5th,1
101,KTH Royal Institute of Technology,5th,1
102,Swinburne University of Technology,5th,1
103,University Of Hertfordshire,5th,1
104,University of Surrey,5th,1
