Rank,University,Points
1,Carnegie Mellon University,59.58
2,ETH Zürich,56.39
3,Fachhochschule Joanneum Graz,56.22
4,Georgia Institute of Technology,54.3
5,Universität Stuttgart,53.74
6,University of Canterbury,52.62
7,Tallinn TU UAS,52.14
8,Rochester Institute of Technology,49.5
9,University of Auckland,49.5
10,Technical University of Munich,45.73
11,University of Texas at Arlington,45.0
12,Norwegian University of Science and Technology,44.8
13,Duale Hochschule Baden-Württemberg Stuttgart,44.17
14,Technische Universiteit Eindhoven,43.85
15,Curtin University,43.52
16,Westsächsische Hochschule Zwickau,43.19
17,Monash University,42.71
18,Karlsruhe Institute of Technology,42.7
19,Massachusetts Institute of Technology,42.7
20,TU Delft,42.65
21,National University of Singapore,40.5
22,Nagoya University,40.27
23,Budapest University of Technology and Economics,38.85
24,Politecnico di Milano,38.18
25,Coventry University,37.5
26,Universidade Estadual de Campinas,37.5
27,University of Michigan - Ann Arbor,35.42
28,Technische Universität Dresden,35.08
29,Technische Universität Graz,34.59
30,Guangdong University of Technology,34.46
31,Cornell University,33.7
32,The University of Newcastle,33.59
33,University of Adelaide,32.77
34,The University of Akron,32.6
35,GFR DHBW Ravensburg & Oregon State University,31.49
36,Brno University of Technology,31.34
37,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,31.14
38,Czech Technical University in Prague,30.71
39,Chalmers University of Technology,30.03
40,Ulm University of Applied Sciences,29.96
41,University of Wollongong,29.6
42,National Tsing Hua University,29.59
43,Hochschule Bonn-Rhein-Sieg,29.49
44,Jilin University,28.96
45,Liaoning University of Technology,28.89
46,Fachhochschule München,28.86
47,École de Technologie Superieure,28.44
48,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),28.32
49,Technische Universität Hamburg,28.17
50,Technische Universität Darmstadt,27.98
51,University of Toronto,27.67
52,Technische Universität Bergakademie Freiberg,27.46
53,University of Pennsylvania,27.24
54,University of New South Wales,26.99
55,Politecnico di Torino,26.59
56,Leopold-Franzens-Universität Innsbruck,25.84
57,Toyohashi University of Technology,25.71
58,Universidade de Lisboa - Instituto Superior Técnico,24.98
59,McGill University,24.9
60,Deggendorf Institute of Technology,24.62
61,Technische Universität Wien,24.47
62,Universität Paderborn,24.35
63,University of Wisconsin-Madison,24.27
64,University of Western Australia,23.17
65,Rheinisch-Westfälische Technische Hochschule Aachen,23.03
66,University of the Basque Country,22.74
67,Hochschule Esslingen,22.23
68,RMIT University,21.9
69,University of Tasmania,21.86
70,National Taipei University of Technology,21.62
71,Technische Hochschule Augsburg,21.46
72,Ostfalia University of Applied Sciences,21.41
73,Oxford Brookes University,21.39
74,Warsaw University of Technology,20.75
75,University of Missouri,20.65
76,University of Ljubljana,20.58
77,University of Melbourne,20.5
78,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),20.39
79,Fachhochschule Kiel,19.77
80,Iwate University,19.66
81,National Technical University of Athens,19.52
82,University of Strathclyde,19.21
83,École Polytechnique de Montréal,19.05
84,Université Laval,18.77
85,Tongji University,18.26
86,Universität Siegen,18.1
87,University of Washington,18.07
88,The University of Tokyo,17.9
89,Auburn University,17.6
90,Swinburne University of Technology,17.57
91,École Polytechnique Fédérale de Lausanne,17.16
92,Shizuoka University,16.55
93,Universität Bayreuth,16.37
94,Hubei University of Automotive Technology,16.16
95,Georg-Simon-Ohm-Hochschule Nürnberg,16.09
96,Technische Hochschule Ingolstadt,15.97
97,Purdue University - West Lafayette,15.67
98,Università degli Studi di Parma,15.41
99,Pennsylvania State University,15.4
100,Fachhochschule Osnabrück,15.31
101,University of California Davis,15.08
102,Pimpri Chinchwad College Of Engineering,15.0
103,Università degli studi di Padova,14.84
104,Ostbayerische Technische Hochschule Regensburg,14.83
105,Kennesaw State University,14.68
106,University of Queensland,14.65
107,Aristotle University of Thessaloniki,14.46
108,Missouri University of Science and Technology,13.98
109,Ecole Nationale d'Ingénieurs de Metz,13.93
110,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,13.9
111,Helsinki Metropolia University of Applied Sciences,13.68
112,Virginia Polytechnic Institute and State University,13.2
113,UAS Würzburg-Schweinfurt,12.97
114,Hochschule RheinMain,12.79
115,California State Polytechnic University - San Luis Obispo,12.73
116,Technische Hochschule Köln,12.69
117,University of Zagreb,12.69
118,Leibniz Universität Hannover,12.66
119,Thomas More Mechelen - De Nayer,12.66
120,Columbia University,12.65
121,Bern University of Applied Sciences,12.61
122,Alma Mater Studiorum - Università di Bologna,12.59
123,Harbin Institute of Technology at Weihai,12.5
