Acceleration - Average Points,613th,4.3,
Acceleration - Best Result,511th,21st,x1
Acceleration - Total,601st,30.1,
AutoX - Average Points,635th,3.9,
AutoX - Best Result,555th,27th,x2
AutoX - Total,607th,27.3,
Business Presentation - Average Points,86th,57.6,
Business Presentation - Best Result,120th,2nd,x3
Business Presentation - Total,386th,403.2,
Cost - Average Points,99th,69.53,
Cost - Best Result,48th,1st,x1
Cost - Total,391st,486.7,
Endurance - Average Points,573rd,6.57,
Endurance - Best Result,448th,15th,x1
Endurance - Total,555th,46.0,
Engineering Design - Average Points,404th,68.0,
Engineering Design - Best Result,503rd,17th,x1
Engineering Design - Total,437th,476.0,
Fuel - Average Points,387th,8.63,
Fuel - Best Result,242nd,6th,x1
Fuel - Total,420th,60.4,
Points - Average Points,489th,221.71,
Points - Total,464th,1552,
Skidpad - Average Points,627th,0.86,
Skidpad - Best Result,525th,24th,x1
Skidpad - Total,611th,6.0,
