Acceleration - Average Points,449th,18.8,
Acceleration - Best Result,248th,6th,x1
Acceleration - Total,354th,225.58,
AutoX - Average Points,315th,38.2,
AutoX - Best Result,319th,9th,x1
AutoX - Total,287th,458.35,
Business Presentation - Average Points,491st,41.57,
Business Presentation - Best Result,351st,8th,x1
Business Presentation - Total,333rd,498.8,
Cost - Average Points,613th,40.76,
Cost - Best Result,647th,26th,x1
Cost - Total,390th,489.17,
Endurance - Average Points,503rd,18.97,
Endurance - Best Result,517th,19th,x1
Endurance - Total,442nd,227.6,
Engineering Design - Average Points,603rd,52.0,
Engineering Design - Best Result,616th,25th,x1
Engineering Design - Total,389th,624.0,
Fuel - Average Points,279th,14.27,
Fuel - Best Result,264th,7th,x1
Fuel - Total,278th,171.2,
Points - Average Points,478th,227.83,
Points - Total,376th,2734,
Skidpad - Average Points,462nd,8.21,
Skidpad - Best Result,260th,7th,x1
Skidpad - Total,383rd,98.52,
