Acceleration - Average Points,435th,19.56,
Acceleration - Best Result,415th,13th,x1
Acceleration - Total,385th,195.57,
AutoX - Average Points,331st,36.62,
AutoX - Best Result,414th,13th,x1
AutoX - Total,320th,366.16,
Business Presentation - Average Points,616th,36.17,
Business Presentation - Best Result,399th,10th,x1
Business Presentation - Total,408th,361.72,
Cost - Average Points,502nd,49.5,
Cost - Best Result,449th,11th,x2
Cost - Total,387th,495.04,
Endurance - Average Points,600th,4.0,
Endurance - Best Result,432nd,14th,x1
Endurance - Total,562nd,40.0,
Engineering Design - Average Points,229th,82.42,
Engineering Design - Best Result,253rd,7th,x1
Engineering Design - Total,327th,824.2,
Fuel - Average Points,444th,5.27,
Fuel - Best Result,334th,10th,x1
Fuel - Total,437th,52.7,
Points - Average Points,449th,244.4,
Points - Total,398th,2444,
Skidpad - Average Points,399th,10.81,
Skidpad - Best Result,413th,15th,x1
Skidpad - Total,369th,108.08,
