Acceleration - Average Points,91st,49.07,
Acceleration - Best Result,94th,2nd,x2
Acceleration - Total,96th,932.32,
AutoX - Average Points,50th,85.02,
AutoX - Best Result,25th,1st,x2
AutoX - Total,89th,1615.42,
Business Presentation - Average Points,211th,52.36,
Business Presentation - Best Result,49th,1st,x1
Business Presentation - Total,142nd,994.85,
Cost - Average Points,81st,70.8,
Cost - Best Result,8th,1st,x4
Cost - Total,125th,1345.24,
Endurance - Average Points,50th,143.07,
Endurance - Best Result,25th,1st,x2
Endurance - Total,79th,2718.35,
Engineering Design - Average Points,424th,66.94,
Engineering Design - Best Result,114th,3rd,x3
Engineering Design - Total,225th,1271.88,
Fuel - Average Points,30th,40.64,
Fuel - Best Result,37th,1st,x1
Fuel - Total,39th,772.16,
Points - Average Points,64th,534.26,
Points - Total,104th,10151,
Skidpad - Average Points,146th,26.21,
Skidpad - Best Result,93rd,2nd,x4
Skidpad - Total,116th,498.0,
