AutoX - Average Points,396th,28.79,
AutoX - Best Result,633rd,37th,x1
AutoX - Total,613th,28.79,
Business Presentation - Average Points,804th,23.68,
Business Presentation - Best Result,793rd,45th,x1
Business Presentation - Total,851st,23.68,
Cost - Average Points,837th,5.0,
Cost - Best Result,823rd,56th,x1
Cost - Total,842nd,5.0,
Endurance - Average Points,178th,90.88,
Endurance - Best Result,587th,26th,x1
Endurance - Total,533rd,90.88,
Engineering Design - Average Points,848th,16.0,
Engineering Design - Best Result,822nd,57th,x1
Engineering Design - Total,858th,16.0,
Points - Average Points,705th,129.0,
Points - Total,804th,129,
