Acceleration - Average Points,642nd,3.18,
Acceleration - Best Result,604th,34th,x1
Acceleration - Total,572nd,44.53,
AutoX - Average Points,666th,3.03,
AutoX - Best Result,634th,37th,x1
AutoX - Total,594th,42.4,
Business Presentation - Average Points,707th,32.2,
Business Presentation - Best Result,521st,14th,x1
Business Presentation - Total,371st,450.76,
Cost - Average Points,611th,41.82,
Cost - Best Result,719th,31st,x1
Cost - Total,353rd,585.55,
Endurance - Average Points,643rd,1.86,
Endurance - Best Result,568th,23rd,x1
Endurance - Total,590th,26.0,
Engineering Design - Average Points,690th,44.57,
Engineering Design - Best Result,606th,23rd,x1
Engineering Design - Total,397th,624.0,
Points - Average Points,721st,125.0,
Points - Total,459th,1750,
Skidpad - Average Points,654th,0.36,
Skidpad - Best Result,612th,38th,x1
Skidpad - Total,621st,5.0,
