Acceleration - Average Points,610th,5.6,
Acceleration - Best Result,580th,29th,x2
Acceleration - Total,518th,72.79,
AutoX - Average Points,384th,29.98,
AutoX - Best Result,458th,15th,x1
AutoX - Total,318th,389.72,
Business Presentation - Average Points,799th,24.72,
Business Presentation - Best Result,597th,20th,x1
Business Presentation - Total,441st,321.31,
Cost - Average Points,795th,16.04,
Cost - Best Result,652nd,24th,x1
Cost - Total,553rd,208.57,
Endurance - Average Points,315th,52.35,
Endurance - Best Result,511th,18th,x1
Endurance - Total,285th,680.5,
Engineering Design - Average Points,747th,38.44,
Engineering Design - Best Result,572nd,21st,x1
Engineering Design - Total,438th,499.66,
Fuel - Average Points,155th,22.67,
Fuel - Best Result,305th,8th,x1
Fuel - Total,188th,294.75,
Points - Average Points,548th,193.54,
Points - Total,400th,2516,
Skidpad - Average Points,535th,5.32,
Skidpad - Best Result,545th,25th,x1
Skidpad - Total,444th,69.14,
