Acceleration - Average Points,315th,28.59,
Acceleration - Best Result,95th,2nd,x2
Acceleration - Total,198th,571.81,
AutoX - Average Points,265th,46.18,
AutoX - Best Result,43rd,1st,x1
AutoX - Total,176th,923.52,
Business Presentation - Average Points,416th,44.88,
Business Presentation - Best Result,142nd,2nd,x1
Business Presentation - Total,170th,897.67,
Cost - Average Points,371st,57.12,
Cost - Best Result,57th,1st,x1
Cost - Total,162nd,1142.36,
Endurance - Average Points,387th,38.32,
Endurance - Best Result,225th,5th,x1
Endurance - Total,263rd,766.45,
Engineering Design - Average Points,299th,76.03,
Engineering Design - Best Result,233rd,6th,x1
Engineering Design - Total,176th,1520.5,
Fuel - Average Points,369th,10.03,
Fuel - Best Result,38th,1st,x1
Fuel - Total,252nd,200.68,
Points - Average Points,324th,313.75,
Points - Total,200th,6275,
Skidpad - Average Points,242nd,19.39,
Skidpad - Best Result,47th,1st,x1
Skidpad - Total,172nd,387.7,
