Acceleration - Average Points,649th,1.23,
Acceleration - Best Result,521st,23rd,x1
Acceleration - Total,635th,8.6,
AutoX - Average Points,674th,1.93,
AutoX - Best Result,471st,18th,x1
AutoX - Total,635th,13.5,
Business Presentation - Average Points,748th,28.19,
Business Presentation - Best Result,508th,15th,x1
Business Presentation - Total,521st,197.32,
Cost - Average Points,761st,20.31,
Cost - Best Result,515th,15th,x1
Cost - Total,592nd,142.19,
Endurance - Average Points,574th,6.43,
Endurance - Best Result,347th,10th,x1
Endurance - Total,550th,45.0,
Engineering Design - Average Points,703rd,40.19,
Engineering Design - Best Result,429th,14th,x1
Engineering Design - Total,521st,281.36,
Fuel - Average Points,358th,10.33,
Fuel - Best Result,167th,4th,x1
Fuel - Total,391st,72.3,
Points - Average Points,752nd,105.0,
Points - Total,577th,735,
Skidpad - Average Points,525th,5.01,
Skidpad - Best Result,457th,18th,x1
Skidpad - Total,497th,35.1,
