Acceleration - Average Points,495th,15.13,
Acceleration - Best Result,537th,25th,x1
Acceleration - Total,426th,136.16,
AutoX - Average Points,389th,29.42,
AutoX - Best Result,405th,13th,x1
AutoX - Total,364th,264.82,
Business Presentation - Average Points,271st,49.78,
Business Presentation - Best Result,316th,7th,x1
Business Presentation - Total,350th,448.01,
Cost - Average Points,21st,77.61,
Cost - Best Result,53rd,1st,x1
Cost - Total,286th,698.52,
Endurance - Average Points,353rd,43.03,
Endurance - Best Result,348th,10th,x1
Endurance - Total,348th,387.27,
Engineering Design - Average Points,334th,73.22,
Engineering Design - Best Result,405th,13th,x1
Engineering Design - Total,374th,659.0,
Fuel - Average Points,870th,-1.08,
Fuel - Best Result,485th,27th,x1
Fuel - Total,871st,-9.74,
Points - Average Points,330th,303.0,
Points - Total,365th,2727,
Skidpad - Average Points,251st,17.61,
Skidpad - Best Result,219th,6th,x1
Skidpad - Total,289th,158.53,
