AutoX - Average Points,646th,3.75,
AutoX - Best Result,585th,29th,x1
AutoX - Total,664th,7.5,
Business Presentation - Average Points,827th,20.92,
Business Presentation - Best Result,843rd,61st,x1
Business Presentation - Total,789th,41.85,
Cost - Average Points,824th,9.8,
Cost - Best Result,859th,77th,x1
Cost - Total,823rd,19.6,
Engineering Design - Average Points,591st,54.5,
Engineering Design - Best Result,715th,35th,x1
Engineering Design - Total,713th,109.0,
Points - Average Points,835th,62.5,
Points - Total,809th,125,
Skidpad - Average Points,620th,1.25,
Skidpad - Best Result,594th,33rd,x1
Skidpad - Total,641st,2.5,
