Acceleration - Average Points,10th,63.02,
Acceleration - Best Result,9th,1st,x4
Acceleration - Total,130th,756.23,
AutoX - Average Points,231st,49.83,
AutoX - Best Result,417th,13th,x1
AutoX - Total,242nd,597.98,
Business Presentation - Average Points,195th,52.74,
Business Presentation - Best Result,330th,7th,x1
Business Presentation - Total,274th,632.88,
Cost - Average Points,159th,66.82,
Cost - Best Result,406th,9th,x1
Cost - Total,262nd,801.85,
Endurance - Average Points,53rd,142.33,
Endurance - Best Result,340th,9th,x1
Endurance - Total,147th,1707.91,
Engineering Design - Average Points,199th,85.79,
Engineering Design - Best Result,196th,5th,x1
Engineering Design - Total,273rd,1029.5,
Fuel - Average Points,109th,26.43,
Fuel - Best Result,177th,4th,x1
Fuel - Total,167th,317.15,
Points - Average Points,77th,519.67,
Points - Total,191st,6236,
Skidpad - Average Points,56th,34.13,
Skidpad - Best Result,201st,5th,x1
Skidpad - Total,146th,409.59,
