Acceleration - Average Points,607th,6.0,
Acceleration - Best Result,470th,16th,x1
Acceleration - Total,611th,30.01,
AutoX - Average Points,620th,6.38,
AutoX - Best Result,550th,24th,x1
AutoX - Total,608th,31.89,
Business Presentation - Average Points,740th,30.31,
Business Presentation - Best Result,583rd,18th,x1
Business Presentation - Total,598th,151.57,
Cost - Average Points,701st,32.74,
Cost - Best Result,728th,33rd,x1
Cost - Total,595th,163.68,
Endurance - Average Points,444th,29.22,
Endurance - Best Result,556th,22nd,x1
Endurance - Total,493rd,146.08,
Engineering Design - Average Points,691st,44.04,
Engineering Design - Best Result,752nd,40th,x1
Engineering Design - Total,589th,220.22,
Points - Average Points,647th,151.4,
Points - Total,589th,757,
Skidpad - Average Points,591st,2.74,
Skidpad - Best Result,450th,16th,x1
Skidpad - Total,588th,13.7,
