Acceleration - Average Points,429th,19.89,
Acceleration - Best Result,630th,43rd,x1
Acceleration - Total,344th,238.69,
AutoX - Average Points,427th,25.83,
AutoX - Best Result,620th,36th,x1
AutoX - Total,342nd,309.95,
Business Presentation - Average Points,641st,34.83,
Business Presentation - Best Result,804th,52nd,x1
Business Presentation - Total,377th,418.01,
Cost - Average Points,368th,57.28,
Cost - Best Result,776th,47th,x1
Cost - Total,300th,687.35,
Endurance - Average Points,469th,22.4,
Endurance - Best Result,604th,31st,x1
Endurance - Total,422nd,268.8,
Engineering Design - Average Points,549th,56.25,
Engineering Design - Best Result,723rd,38th,x1
Engineering Design - Total,373rd,675.0,
Points - Average Points,495th,218.42,
Points - Total,381st,2621,
Skidpad - Average Points,581st,2.79,
Skidpad - Best Result,618th,42nd,x1
Skidpad - Total,513th,33.5,
