Acceleration - Average Points,23rd,58.93,
Acceleration - Best Result,49th,1st,x1
Acceleration - Total,14th,2121.57,
AutoX - Average Points,6th,111.98,
AutoX - Best Result,2nd,1st,x18
AutoX - Total,8th,4031.18,
Business Presentation - Average Points,5th,68.17,
Business Presentation - Best Result,1st,1st,x9
Business Presentation - Total,13th,2454.17,
Cost - Average Points,53rd,73.1,
Cost - Best Result,28th,1st,x2
Cost - Total,22nd,2631.43,
Endurance - Average Points,10th,195.65,
Endurance - Best Result,2nd,1st,x16
Endurance - Total,9th,7043.4,
Engineering Design - Average Points,15th,123.17,
Engineering Design - Best Result,4th,1st,x10
Engineering Design - Total,16th,4434.1,
Fuel - Average Points,12th,53.89,
Fuel - Best Result,3rd,1st,x4
Fuel - Total,3rd,1940.08,
Points - Average Points,2nd,737.08,
Points - Total,10th,26535,
Skidpad - Average Points,3rd,54.45,
Skidpad - Best Result,4th,1st,x9
Skidpad - Total,6th,1960.36,
