Acceleration - Average Points,112th,46.18,
Acceleration - Best Result,334th,10th,x1
Acceleration - Total,168th,600.4,
AutoX - Average Points,224th,50.91,
AutoX - Best Result,475th,18th,x1
AutoX - Total,225th,661.8,
Business Presentation - Average Points,614th,35.92,
Business Presentation - Best Result,705th,34th,x1
Business Presentation - Total,338th,466.96,
Cost - Average Points,107th,69.22,
Cost - Best Result,370th,8th,x1
Cost - Total,213th,899.91,
Endurance - Average Points,258th,68.54,
Endurance - Best Result,441st,15th,x1
Endurance - Total,234th,891.0,
Engineering Design - Average Points,490th,60.38,
Engineering Design - Best Result,627th,27th,x1
Engineering Design - Total,330th,785.0,
Fuel - Average Points,65th,32.01,
Fuel - Best Result,129th,3rd,x1
Fuel - Total,113th,416.1,
Points - Average Points,203rd,386.0,
Points - Total,234th,5018,
Skidpad - Average Points,173rd,23.66,
Skidpad - Best Result,387th,14th,x1
Skidpad - Total,188th,307.6,
